w/c,f/c,c/f,Compressive Strength (MPa)
0.849804092,0.736893298,0.303194298,22.6887
0.849804092,0.736893298,0.303194298,22.6887
0.849804092,0.736893298,0.303194298,22.6887
0.849804092,0.736893298,0.303194298,22.6887
0.784124318,0.891672808,0.281109799,23.0514
0.784124318,0.891672808,0.281109799,23.0514
0.784124318,0.891672808,0.281109799,23.0514
0.784124318,0.891672808,0.281109799,23.0514
0.784124318,0.891672808,0.281109799,23.0514
0.7496,0.89998955,0.290292615,24.5016
0.7496,0.89998955,0.290292615,24.5016
0.7496,0.89998955,0.290292615,24.5016
0.7496,0.89998955,0.290292615,24.5016
0.7496,0.89998955,0.290292615,24.5016
0.749647059,0.89660647,0.235170429,32.694
0.749647059,0.89660647,0.235170429,32.694
0.749647059,0.89660647,0.235170429,32.694
0.749647059,0.89660647,0.235170429,32.694
0.749647059,0.89660647,0.235170429,32.694
0.749764817,0.900378561,0.235229033,33.4806
0.749764817,0.900378561,0.235229033,33.4806
0.749764817,0.900378561,0.235229033,33.4806
0.749764817,0.900378561,0.235229033,33.4806
0.749764817,0.900378561,0.235229033,33.4806
0.75,0.736594804,0.265165729,31.4597
0.75,0.736594804,0.265165729,31.4597
0.75,0.736594804,0.265165729,31.4597
0.75,0.736594804,0.265165729,31.4597
0.75,0.736594804,0.265165729,31.4597
0.75064711,0.736936766,0.297752087,28.569
0.75064711,0.736936766,0.297752087,28.569
0.75064711,0.736936766,0.297752087,28.569
0.75064711,0.736936766,0.297752087,28.569
0.75064711,0.736936766,0.297752087,28.569
0.749801114,0.736775574,0.331793586,24.998
0.749801114,0.736775574,0.331793586,24.998
0.749801114,0.736775574,0.331793586,24.998
0.749801114,0.736775574,0.331793586,24.998
0.749801114,0.736775574,0.331793586,24.998
0.749801114,0.736775574,0.331793586,24.998
0.749801114,0.736775574,0.331793586,24.998
0.749801114,0.736775574,0.331793586,24.998
0.749801114,0.736775574,0.331793586,24.998
0.749801114,0.736775574,0.331793586,24.998
0.934950386,0.736832133,0.233221908,25.1731
0.934950386,0.736832133,0.233221908,25.1731
0.934950386,0.736832133,0.233221908,25.1731
0.934950386,0.736832133,0.233221908,25.1731
0.934950386,0.736832133,0.233221908,25.1731
0.935164835,0.736926562,0.233124119,25.0904
0.935164835,0.736926562,0.233124119,25.0904
0.935164835,0.736926562,0.233124119,25.0904
0.935164835,0.736926562,0.233124119,25.0904
0.935164835,0.736926562,0.233124119,25.0904
0.937240971,0.736676536,0.21213263,27.3494
0.937240971,0.736676536,0.21213263,27.3494
0.937240971,0.736676536,0.21213263,27.3494
0.937240971,0.736676536,0.21213263,27.3494
0.937240971,0.736676536,0.21213263,27.3494
0.578856749,0.899916771,0.335722543,34.781
0.578856749,0.899916771,0.335722543,34.781
0.578856749,0.899916771,0.335722543,34.781
0.578856749,0.899916771,0.335722543,34.781
0.578856749,0.899916771,0.335722543,34.781
0.579574161,0.899065612,0.316468707,44.5214
0.579574161,0.899065612,0.316468707,44.5214
0.579574161,0.899065612,0.316468707,44.5214
0.579574161,0.899065612,0.316468707,44.5214
0.579574161,0.899065612,0.316468707,44.5214
0.579979709,0.899591666,0.344157356,35.9731
0.579979709,0.899591666,0.344157356,35.9731
0.579979709,0.899591666,0.344157356,35.9731
0.579979709,0.899591666,0.344157356,35.9731
0.579979709,0.899591666,0.344157356,35.9731
0.580222399,0.8944334,0.279839964,37.4553
0.580222399,0.8944334,0.279839964,37.4553
0.580222399,0.8944334,0.279839964,37.4553
0.580222399,0.8944334,0.279839964,37.4553
0.580222399,0.8944334,0.279839964,37.4553
0.634684866,0.899979753,0.280202475,37.2586
0.634684866,0.899979753,0.280202475,37.2586
0.634684866,0.899979753,0.280202475,37.2586
0.634684866,0.899979753,0.280202475,37.2586
0.634684866,0.899979753,0.280202475,37.2586
0.57986524,0.899979753,0.283802025,40.8199
0.57986524,0.899979753,0.283802025,40.8199
0.57986524,0.899979753,0.283802025,40.8199
0.57986524,0.899979753,0.283802025,40.8199
0.57986524,0.899979753,0.283802025,40.8199
0.580632091,0.736934119,0.308153328,35.5167
0.580632091,0.736934119,0.308153328,35.5167
0.580632091,0.736934119,0.308153328,35.5167
0.580632091,0.736934119,0.308153328,35.5167
0.580632091,0.736934119,0.308153328,35.5167
0.579789168,0.73794609,0.353826367,45.2118
0.579789168,0.73794609,0.353826367,45.2118
0.579789168,0.73794609,0.353826367,45.2118
0.579789168,0.73794609,0.353826367,45.2118
0.579789168,0.73794609,0.353826367,45.2118
0.588156124,0.736703168,0.394426012,38.4326
0.588156124,0.736703168,0.394426012,38.4326
0.588156124,0.736703168,0.394426012,38.4326
0.588156124,0.736703168,0.394426012,38.4326
0.588156124,0.736703168,0.394426012,38.4326
0.724379972,0.736971998,0.275244719,35.2082
0.724379972,0.736971998,0.275244719,35.2082
0.724379972,0.736971998,0.275244719,35.2082
0.724379972,0.736971998,0.275244719,35.2082
0.724379972,0.736971998,0.275244719,35.2082
0.72412178,0.736957141,0.275306254,35.6114
0.72412178,0.736957141,0.275306254,35.6114
0.72412178,0.736957141,0.275306254,35.6114
0.72412178,0.736957141,0.275306254,35.6114
0.72412178,0.736957141,0.275306254,35.6114
0.57972583,0.737025525,0.354249201,43.8744
0.57972583,0.737025525,0.354249201,43.8744
0.57972583,0.737025525,0.354249201,43.8744
0.57972583,0.737025525,0.354249201,43.8744
0.57972583,0.737025525,0.354249201,43.8744
0.64527956,0.736915497,0.275261764,34.4643
0.64527956,0.736915497,0.275261764,34.4643
0.64527956,0.736915497,0.275261764,34.4643
0.64527956,0.736915497,0.275261764,34.4643
0.64527956,0.736915497,0.275261764,34.4643
0.724057701,0.769594794,0.27530105,36.8949
0.724057701,0.769594794,0.27530105,36.8949
0.724057701,0.769594794,0.27530105,36.8949
0.724057701,0.769594794,0.27530105,36.8949
0.724057701,0.769594794,0.27530105,36.8949
0.72407492,0.736905534,0.275380551,33.4664
0.72407492,0.736905534,0.275380551,33.4664
0.72407492,0.736905534,0.275380551,33.4664
0.72407492,0.736905534,0.275380551,33.4664
0.72407492,0.736905534,0.275380551,33.4664
0.570744681,0.759740907,0.493179433,33.6042
0.570744681,0.759740907,0.493179433,33.6042
0.570744681,0.759740907,0.493179433,33.6042
0.570744681,0.759740907,0.493179433,33.6042
0.570744681,0.759740907,0.493179433,33.6042
0.28,0.883022774,0.586166471,67.6588
0.298947368,0.583788707,0.741029641,62.7808
0.46031746,0.659292035,0.422818792,59.4571
0.386138614,0.611650485,0.801587302,44.706
0.365853659,0.723300971,0.605369128,69.630825
0.313953488,1.001248439,0.643391521,49.4985
0.326923077,1,0.608187135,63.1242
0.350378788,0.782608696,0.733333333,54.0036
0.336538462,0.925287356,0.645962733,59.2802
0.41038961,0.850498339,0.501302083,59.8875
0.399920016,0.545357524,0.81555773,44.7044
0.444345701,0.545357524,0.734018265,39.5782
0.420654912,0.654601861,0.627172196,61.015
0.501501502,0.654618474,0.510736196,51.2079
0.565868263,0.654601861,0.52764613,39.2611
0.432098765,0.620535714,0.582733813,57.590625
0.95,0.576419214,0.303030303,23.1065
0.313953488,1.001248439,0.643391521,49.4985
1.268965517,1.056422569,0.164772727,14.3276
1.1375,1.066747573,0.182025028,20.773
0.807692308,0.774719674,0.307894737,23.5229
0.636,0.930232558,0.3125,37.8641
0.341052632,0.634099617,0.717522659,63.81475
0.571929825,0.664403492,0.416058394,41.4926
0.449438202,0.619227144,0.541856925,58.9241
0.589090909,0.921686747,0.359477124,43.943
0.302,0.634075508,0.763358779,68.2163
0.992727273,0.895883055,0.183150183,26.1565
1.061212121,0.742294691,0.221001875,26.6041
1.010674157,0.741387869,0.238350295,25.1258
1.048387097,0.741925867,0.224216448,26.9308
0.909512761,0.851038458,0.2013078,29.0113
0.949855908,0.788610614,0.218651544,27.7312
0.982035928,0.764519011,0.216854954,28.1683
0.99136939,0.741262907,0.232788642,27.3295
0.8754598,0.740407785,0.238202528,24.0055
0.7672,0.903361787,0.291647224,24.2326
0.745667447,0.739651207,0.276590232,35.7255
0.874165383,0.903607214,0.21590153,26.9335
0.767303103,0.722786508,0.333289142,25.4686
0.992727273,0.895883055,0.183150183,26.1565
1.061212121,0.742294691,0.221001875,26.6041
1.010674157,0.741387869,0.238350295,25.1258
1.048387097,0.741925867,0.224216448,26.9308
0.909512761,0.851038458,0.2013078,29.0113
0.949855908,0.788610614,0.218651544,27.7312
0.982035928,0.764519011,0.216854954,28.1683
0.99136939,0.741262907,0.232788642,27.3295
0.8754598,0.740407785,0.238202528,24.0055
0.7672,0.903361787,0.291647224,24.2326
0.745667447,0.739651207,0.276590232,35.7255
0.874165383,0.903607214,0.21590153,26.9335
0.767303103,0.722786508,0.333289142,25.4686
0.992727273,0.895883055,0.183150183,26.1565
1.061212121,0.742294691,0.221001875,26.6041
1.010674157,0.741387869,0.238350295,25.1258
1.048387097,0.741925867,0.224216448,26.9308
0.909512761,0.851038458,0.2013078,29.0113
0.949855908,0.788610614,0.218651544,27.7312
0.982035928,0.764519011,0.216854954,28.1683
0.99136939,0.741262907,0.232788642,27.3295
0.8754598,0.740407785,0.238202528,24.0055
0.7672,0.903361787,0.291647224,24.2326
0.745667447,0.739651207,0.276590232,35.7255
0.874165383,0.903607214,0.21590153,26.9335
0.767303103,0.722786508,0.333289142,25.4686
0.992727273,0.895883055,0.183150183,26.1565
1.061212121,0.742294691,0.221001875,26.6041
1.010674157,0.741387869,0.238350295,25.1258
1.048387097,0.741925867,0.224216448,26.9308
0.909512761,0.851038458,0.2013078,29.0113
0.949855908,0.788610614,0.218651544,27.7312
0.982035928,0.764519011,0.216854954,28.1683
0.99136939,0.741262907,0.232788642,27.3295
0.8754598,0.740407785,0.238202528,24.0055
0.7672,0.903361787,0.291647224,24.2326
0.745667447,0.739651207,0.276590232,35.7255
0.874165383,0.903607214,0.21590153,26.9335
0.767303103,0.722786508,0.333289142,25.4686
0.992727273,0.895883055,0.183150183,26.1565
1.061212121,0.742294691,0.221001875,26.6041
1.010674157,0.741387869,0.238350295,25.1258
1.048387097,0.741925867,0.224216448,26.9308
0.909512761,0.851038458,0.2013078,29.0113
0.949855908,0.788610614,0.218651544,27.7312
0.982035928,0.764519011,0.216854954,28.1683
0.99136939,0.741262907,0.232788642,27.3295
0.8754598,0.740407785,0.238202528,24.0055
0.7672,0.903361787,0.291647224,24.2326
0.745667447,0.739651207,0.276590232,35.7255
0.874165383,0.903607214,0.21590153,26.9335
0.767303103,0.722786508,0.333289142,25.4686
0.3632287,0.736297828,0.626404494,64.565525
0.3632287,0.736297828,0.626404494,64.565525
0.3632287,0.736297828,0.626404494,64.565525
0.3632287,0.736297828,0.626404494,64.565525
0.3632287,0.736297828,0.626404494,64.565525
0.3632287,0.736297828,0.626404494,64.565525
0.3632287,0.736297828,0.626404494,64.565525
0.3632287,0.736297828,0.626404494,64.565525
0.3632287,0.736297828,0.626404494,64.565525
0.3632287,0.736297828,0.626404494,64.565525
0.3632287,0.736297828,0.626404494,64.565525
0.3632287,0.736297828,0.626404494,64.565525
0.3632287,0.736297828,0.626404494,64.565525
0.3632287,0.736297828,0.626404494,64.565525
0.405684755,0.900852878,0.457988166,59.0216
0.405684755,0.900852878,0.457988166,59.0216
0.405684755,0.900852878,0.457988166,59.0216
0.405684755,0.900852878,0.457988166,59.0216
0.405684755,0.900852878,0.457988166,59.0216
0.405684755,0.900852878,0.457988166,59.0216
0.405684755,0.900852878,0.457988166,59.0216
0.405684755,0.900852878,0.457988166,59.0216
0.405684755,0.900852878,0.457988166,59.0216
0.405684755,0.900852878,0.457988166,59.0216
0.405684755,0.900852878,0.457988166,59.0216
0.405684755,0.900852878,0.457988166,59.0216
0.408450704,0.900723888,0.407577497,60.65555
0.408450704,0.900723888,0.407577497,60.65555
0.427698574,0.792517007,0.702432046,48.7298
0.409368635,0.850364964,0.702432046,49.2399
0.427698574,0.792517007,0.702432046,48.7298
0.427698574,0.792517007,0.702432046,48.7298
0.427698574,0.792517007,0.702432046,48.7298
0.409368635,0.850364964,0.702432046,49.2399
0.409368635,0.850364964,0.702432046,49.2399
0.409368635,0.850364964,0.702432046,49.2399
0.419811321,0.912408759,0.565333333,53.6973
0.419811321,0.850340136,0.565333333,55.4083
0.396226415,0.912408759,0.565333333,56.8416
0.419811321,0.912408759,0.565333333,53.6973
0.419811321,0.912408759,0.565333333,53.6973
0.396226415,0.912408759,0.565333333,56.8416
0.396226415,0.912408759,0.565333333,56.8416
0.396226415,0.912408759,0.565333333,56.8416
1.01980198,0.850318471,0.252184769,21.7172
1.01980198,0.850318471,0.252184769,21.7172
1.01980198,0.850318471,0.252184769,21.7172
1.01980198,0.850318471,0.252184769,21.7172
0.63028169,0.951306413,0.354556804,34.7848
0.63028169,0.951306413,0.354556804,34.7848
0.63028169,0.951306413,0.354556804,34.7848
0.63028169,0.951306413,0.354556804,34.7848
0.428969359,0.850318471,0.448189763,62.897425
0.428969359,0.850318471,0.448189763,62.897425
0.428969359,0.850318471,0.448189763,62.897425
0.428969359,0.850318471,0.448189763,62.897425
0.428969359,0.850318471,0.448189763,62.897425
0.428969359,0.850318471,0.448189763,62.897425
0.428969359,0.850318471,0.448189763,62.897425
0.428969359,0.850318471,0.448189763,62.897425
0.5,0.858420802,0.605807976,31.7883
0.664359862,0.980398598,0.322796828,26.1414
0.664359862,0.980398598,0.322796828,26.1414
0.488549618,0.835211567,0.500254582,33.6773
0.488549618,0.835211567,0.500254582,33.6773
0.488549618,0.835211567,0.500254582,33.6773
0.4,0.760734886,0.673967987,44.6167
0.4,0.760734886,0.673967987,44.6167
0.4,0.760734886,0.673967987,44.6167
0.4,0.760734886,0.673967987,44.6167
0.576576577,0.904853952,0.395205317,32.5085
0.752941176,1.062036413,0.26984127,24.17
0.752941176,1.062036413,0.26984127,24.17
0.664359862,0.980398598,0.322796828,26.1414
0.752941176,1.062036413,0.26984127,24.17
0.576576577,0.904853952,0.395205317,32.5085
0.576576577,0.904853952,0.395205317,32.5085
0.664359862,0.980398598,0.322796828,26.1414
0.576576577,0.904853952,0.395205317,32.5085
0.488549618,0.835211567,0.500254582,33.6773
0.752941176,1.062036413,0.26984127,24.17
1.169395466,0.705650586,0.216260384,15.5607
0.775041736,0.705501274,0.360680415,27.265
0.779596977,0.705650586,0.324390576,23.5095
1.020890599,0.705551166,0.254654907,23.7182
0.959689922,0.705570026,0.274740877,24.2861
0.726810176,0.705532827,0.352754384,26.7369
0.680718475,0.705551166,0.381912362,29.3648
0.775041736,0.705501274,0.360680415,27.265
0.841032609,0.70549763,0.296654575,22.8551
0.467758186,0.705650586,0.54065096,34.3985
0.485490196,0.705573583,0.517381307,37.0287
0.881347888,0.705527124,0.305672421,24.8799
1.169395466,0.705650586,0.216260384,15.5607
0.627789047,0.704874473,0.384505395,25.0638
0.726810176,0.705532827,0.352754384,26.7369
0.912530713,0.705538004,0.268010009,21.3054
0.467758186,0.705650586,0.54065096,34.3985
0.486890404,0.71003078,0.48629351,26.3867
0.627789047,0.704874473,0.384505395,25.0638
0.814473684,0.705482318,0.338128429,26.0715
0.841032609,0.70549763,0.296654575,22.8551
0.587472319,0.705527124,0.458581169,37.4331
1.368459838,0.705538004,0.17871724,14.4713
0.779924402,0.705488023,0.301659698,17.8448
0.547464623,0.705480733,0.449688453,32.3051
1.368459838,0.705538004,0.17871724,14.4713
0.959689922,0.705570026,0.274740877,24.2861
0.912530713,0.705538004,0.268010009,21.3054
0.639903515,0.705570026,0.412040324,29.9195
1.020890599,0.705551166,0.254654907,23.7182
1.090428655,0.705532827,0.235123568,22.8888
0.881347888,0.705527124,0.305672421,24.8799
0.814473684,0.705482318,0.338128429,26.0715
0.639903515,0.705570026,0.412040324,29.9195
0.486890404,0.71003078,0.48629351,26.3867
0.779596977,0.705650586,0.324390576,23.5095
0.997314715,0.705464279,0.243621615,20.2287
0.547464623,0.705480733,0.449688453,32.3051
0.779924402,0.705488023,0.301659698,17.8448
0.735445545,0.705559554,0.321943134,20.0084
0.485490196,0.705573583,0.517381307,37.0287
0.735445545,0.705559554,0.321943134,20.0084
0.587472319,0.705527124,0.458581169,37.4331
0.997314715,0.705464279,0.243621615,20.2287
1.090428655,0.705532827,0.235123568,22.8888
0.680718475,0.705551166,0.381912362,29.3648
0.581120944,0.806818182,0.434058899,31.9814
0.581120944,0.806818182,0.434058899,31.9814
0.581120944,0.806818182,0.434058899,31.9814
0.581120944,0.806818182,0.434058899,31.9814
0.581120944,0.806818182,0.434058899,31.9814
0.581120944,0.806818182,0.434058899,31.9814
0.581120944,0.806818182,0.434058899,31.9814
0.822033898,0.914256198,0.266666667,19.8489
0.822033898,0.914256198,0.266666667,19.8489
0.822033898,0.914256198,0.266666667,19.8489
0.822033898,0.914256198,0.266666667,19.8489
0.81779661,0.914256198,0.266666667,20.7556
0.81779661,0.914256198,0.266666667,20.7556
0.689530686,0.884297521,0.323598131,26.2753
0.689530686,0.884297521,0.323598131,26.2753
0.689530686,0.884297521,0.323598131,26.2753
