"Fine
Aggregate","Coarse
Aggregate",Fly ash,"Silica
Fume",Cement,Slag,Water,Superplasticizer,Slump
655,1165,0,37.2,335,0,186,0,6.5
777,988,0,0,280,0,202,0,16
788,1003,56,0,224,0,185,0.5,17
802,1041,112,0,168,0,157,2.1,18
801,1106,168,0,112,0,124,3.9,21
737,977,0,0,340,0,203,0.4,22
743,985,68,0,272,0,188,0.8,21
752,1017,136,0,204,0,163,1.7,16
756,1089,204,0,136,0,124,3.3,23
737,977,0,0,340,0,203,0.4,22
743,985,68,0,272,0,188,1.5,21
752,1017,136,0,204,0,163,2.7,23
756,1089,204,0,136,0,124,5,22
641.3,960.8,0,65,430,0,195.5,5.8,20
670.3,1024.9,0,67.2,367.1,0,180.5,4.4,19
675.4,1018.5,0,63.7,385.8,0,173.6,6.9,19.5
684.9,1024.1,0,64,384.7,0,174,8.4,18.5
682.1,1020.4,0,64.3,380,0,178,3.8,18
682.6,1020.7,0,64.3,379.8,0,177.9,4.1,19.5
685.5,1020.8,0,64.6,376.2,0,177.8,4,19
658.1,1038.2,0,67.3,391.9,0,170.9,5.8,19.5
664.7,1027.1,0,62.9,408.4,0,165.6,9,19.5
670.8,1040.6,0,64.1,407.7,0,165.7,10.4,18.5
664.2,1032.9,0,64.2,402.1,0,168.3,5.7,19.5
665.5,1034.9,0,64.2,402,0,168.2,4.9,22
666.3,1034.4,0,64.3,400.5,0,167.5,5.9,21
660,989,0,60,455,0,167.4,10.2,20.5
644.1,1049.8,0,67.1,418.3,0,161.8,7.8,20
653.3,1033.5,0,62,430.6,0,158.5,11.5,22
657,1055.1,0,64,430.4,0,158.3,12.6,20
653.2,1042.3,0,63.9,423.8,0,159.7,8.3,20.5
654.7,1044.6,0,63.9,423.8,0,159.7,7.2,22
665,997,0,60,470,0,156.4,11.6,22.5
627.2,1057.7,0,66.7,446.5,0,153.1,10.5,21
642.8,1040.5,0,60.9,452.6,0,152,14.2,22
643.4,1067.7,0,63.7,453.1,0,151.6,12.6,20.5
641.6,1049.2,0,63.4,445.7,0,151.9,11.2,22.5
643.2,1052,0,63.4,445.8,0,151.9,9.8,23
642.2,1047.2,0,63.2,443.4,0,152,12.7,22
669,1002,0,60,480,0,145.8,15.6,21
608.6,1063.5,0,66,476.7,0,144.9,14.5,21.5
630.3,1043.5,0,59.6,474.7,0,146.1,17.7,22.3
629.7,1078.8,0,63.3,476,0,145.4,15.6,20.5
627.2,1050.5,0,62.7,467.8,0,144.7,16.7,23
631.6,1058.2,0,62.6,468.1,0,144.8,12.3,23.5
629.2,1050.2,0,62.4,465,0,145.3,16.9,23
588.4,1066.9,0,64.9,508.8,0,137.2,19.5,24.5
616.9,1044.7,0,58.1,497.1,0,140.6,22.4,21.5
615.8,1088.5,0,62.8,499.3,0,139.6,19.2,20
614.1,1053,0,61.9,490.5,0,138,20.7,22.5
615.1,1055.2,0,62,491,0,138.1,19.6,25
612.5,1045.7,0,61.4,487.1,0,139,24.8,23
773,1044,0,0,511,0,143,5.11,9.5
773,1044,0,25.55,486,0,143,5.11,8.2
773,1044,0,51.1,461,0,143,5.11,7.7
773,1044,0,76.65,436,0,143,5.11,7.1
773,1044,0,102.2,411,0,143,5.11,6.4
773,1044,0,127.75,386,0,143,5.11,5.8
551,1118,86,0,427,0,218,0,11
713.21,1104.2,0,0,425.73,0,191.58,0,9.5
713.21,1104.2,0,12.77,412.95,0,191.58,0,9.5
713.21,1104.2,0,25.54,400.18,0,191.58,0,9
713.21,1104.2,0,42.57,383.15,0,191.58,0,8
713.21,1104.2,0,51.08,374.64,0,191.58,0,7.5
821,1095,0,0,383,0,147.35,0.5,10.7
680,904,105,0,273,82,210,9,23
658,923,144,0,154,112,220,10,20
829,860,115,0,147,89,202,9,23
853,750,227,0,145,0,240,6,14.5
892,785,237,0,152,0,204,6,15.5
722,895,140,0,304,0,214,6,19
883,751,136,0,145,106,208,10,24.5
902,768,139,0,148,109,193,7,23.75
836,735,167,0,142,130,215,6,25.5
691,959,0,0,354,0,234,6,17
730,1013,0,0,374,0,190,7,14.5
720,953,149,0,159,116,175,15,23.5
684,1002,239,0,153,0,200,6,12
766,750,136,0,295,106,206,11,25
804,914,143,0,310,0,168,10,20.5
685,932,0,0,296,97,219,9,15
705,959,0,0,305,100,196,10,20
804,787,143,0,310,0,218,10,13
749,961,0,0,146,178,192,11,18
775,871,164,0,140,128,183,12,23.75
686,783,142,0,308,111,217,10,25
650,871,136,0,295,106,208,6,26.5
655,878,137,0,298,107,201,6,16
757,851,161,0,314,0,207,6,21.5
774,870,164,0,321,0,190,5,24
721,785,178,0,349,0,230,6,20
757,824,187,0,366,0,191,7,24.75
827,759,115,0,274,89,202,9,26.5
757,708,214,0,137,167,226,6,27.5
790,810,127,0,275,99,184,13,25.75
821,835,97,0,252,76,194,8,23
729,1023,0,0,165,150,182,12,14.5
706,1035,246,0,158,0,174,7,19
698,1022,243,0,156,0,180,11,21
683,797,181,0,154,141,234,11,23
710,829,188,0,160,146,203,11,13
797,859,0,0,291,105,205,6,24
737,861,0,0,318,126,210,6,17.5
679,883,118,0,280,92,207,9,25.5
696,904,121,0,287,94,188,9,25
792,884,167,0,326,0,174,6,21.5
776,866,163,0,320,0,188,9,23.5
747,770,0,0,342,136,225,11,21
778,801,0,0,356,142,193,11,8
680,912,142,0,309,0,218,10,24
709,951,149,0,322,0,186,8,20.5
818,821,0,0,159,193,208,12,23
765,904,0,0,307,110,189,10,22
758,846,0,0,313,124,205,11,22
672,891,168,0,143,131,217,6,25
656,869,164,0,140,128,237,6,24
799,875,117,0,278,0,205,9,19
829,908,121,0,288,0,177,7,22.5
745,881,0,0,299,107,210,10,25
725,857,0,0,291,104,231,9,23
790,833,111,0,265,86,195,6,27
683,1041,248,0,159,0,175,12,21
688,1049,250,0,160,0,168,12,18
827,859,260,0,166,0,183,13,21
787,756,0,0,336,134,222,6,26
789,794,0,0,313,112,220,10,23
813,818,0,0,322,116,196,10,25.5
778,747,136,0,294,106,207,6,24
765,875,137,0,146,106,209,6,24
780,892,139,0,149,109,193,6,23.5
789,990,187,0,159,0,176,11,12
761,864,100,0,261,78,201,9,23
780.5,1049.9,198.1,0,140,1.4,174.9,4.4,16.25
789.2,996.1,209.5,0,141.1,0.6,188.8,4.6,23.5
710.1,1049.5,215.9,0,140.1,4.2,193.9,4.7,24.5
683.8,1020.9,226.1,0,140.1,11.8,207.8,4.9,21
841.1,781,240,0,160.2,0.3,233.5,9.2,24
742.7,1028.4,239,0,140.2,30.5,169.4,5.3,21.25
704,1047.6,234.9,0,140.2,44.8,171.3,5.5,23.5
681.4,1017.7,238.9,0,140.5,61.1,182.5,5.7,24.5
647.1,964.8,239.8,0,143.3,91.8,200.8,6.2,25
811.3,780.6,240,0,194.3,0.3,234.2,8.9,26.5
667.2,1000.2,239.7,0,150.4,110.9,168.1,6.5,9.5
670.5,999.5,238.8,0,150.3,111.4,167.3,6.5,14.5
652.5,966.8,240,0,155.4,122.1,179.9,6.7,14.5
652.6,883.2,238.3,0,165.3,143.2,200.4,7.1,17
715.3,780.1,239.8,0,303.8,0.2,236.4,8.3,25
649.1,884,239,0,215.6,112.9,198.7,7.4,27.5
722.9,780.3,239.9,0,295.3,0,236.2,8.3,25
651.8,908.9,239.9,0,297.1,40.9,194,7.5,27.5
758.1,786.2,223.1,0,348.7,0.1,208.5,9.6,29
944,871,0,0,400,0,180,0,10
941,868,40,0,360,0,180,0,12.7
937,865,80,0,320,0,180,0,14
933,852,120,0,280,0,180,0,14.5
941,869,0,20,380,0,180,0,9
937,865,0,40,360,0,180,0,7.8
935,863,40,20,340,0,180,0,10.8
932,861,80,20,280,0,180,0,12.5
930,858,120,20,260,0,180,0,13.6
610,1134,0,0,600,0,156,9.6,22.5
610,1134,0,0,420,180,156,9.6,24.5
610,1134,0,60,360,180,156,9.6,24
561,1191,0,0,474,0,180,4.74,19
561,1191,0,71.1,356,47.4,180,4.75,18
561,1191,0,47.4,356,71.1,180,4.75,17.5
561,1191,0,23.7,356,94.8,180,4.75,18.5
638,1192,0,0,550,0,137.5,5.5,16
640,1200,0,55,495,0,137.5,5.5,17
620,1190,0,110,440,0,137.5,5.5,16
610,1172,0,165,385,0,137.5,5.5,17
688,1208,0,0,460,0,115,4.6,18
682,1206,0,46,414,0,138,4.6,19
674,1188,0,92,368,0,138,4.6,17
670,1170,0,138,322,0,138,4.6,17
744,1196,0,0,400,0,120,4,16
734,1195,0,40,360,0,140,4,17
730,1176,0,80,320,0,140,4,17
720,1165,0,120,280,0,140,4,17
760,1152,0,0,310,0,108.5,3.1,17
754,1147,0,31,279,0,139.5,3.1,18
748,1137,0,62,248,0,139.5,3.1,17
740,1129,0,93,217,0,139.5,3.1,17
684,1213,0,0,460,0,207,4.6,19
680,1209,0,46,414,0,138,4.6,19
670,1197,0,92,368,0,138,4.6,17
668,1172,0,138,322,0,138,4.6,18
740,1202,0,0,400,0,120,4,20
732,1196,0,40,360,0,140,4,21
726,1183,0,80,320,0,140,4,20
714,1177,0,120,280,0,140,4,19
740,1185,0,0,355,0,145.5,5.11,14
661,1185,132,0,308,0,141,4.77,17
665,1185,176,0,264,0,136.5,4.75,18.5
594,1185,0,0,517,0,150,6.77,15
570,1185,155,0,362,0,150,4.8,17.5
561,1185,207,0,311,0,150,4.24,16
803.26,902.56,99.28,0,341.02,146.15,150.16,0,24
812.53,912.96,100.43,0,291.6,124.97,168.51,0,24
830.4,922.67,92.27,0,255.26,109.4,181.35,0,23
839.82,933.13,93.31,0,221.17,94.79,190.61,0,13
794.97,893.23,98.26,0,343.94,147.4,150.6,0,24.5
805.14,904.65,99.51,0,293.4,125.74,168.76,0,25
823.94,915.49,91.55,0,255.99,109.71,181.28,0,23
834.27,926.96,92.07,0,221.12,94.77,190.17,0,22
794.97,893.23,98.26,28.32,343.94,147.4,150.33,0,26
805.14,904.65,99.51,28.68,293.4,125.74,168.5,0,22
823.94,915.49,91.55,26.39,255.99,109.71,181.05,0,21
834.27,926.96,92.7,26.72,221.12,94.77,189.97,0,18
